tWojewodztwo;Powiat;Gmina;Miejscowosc;Dzielnica;ludnosc
DOLNOŚLĄSKIE;oleśnicki;Bierutów;Bierutów;;4418.0
DOLNOŚLĄSKIE;oleśnicki;Dobroszyce;Dobroszyce;;
DOLNOŚLĄSKIE;oleśnicki;Dziadowa Kłoda;Dziadowa Kłoda;;
DOLNOŚLĄSKIE;oleśnicki;Międzybórz;Międzybórz;;2292.0
DOLNOŚLĄSKIE;oleśnicki;Oleśnica;Oleśnica;;34914.0
DOLNOŚLĄSKIE;oleśnicki;Syców;Syców;;9920.0
DOLNOŚLĄSKIE;oleśnicki;Twardogóra;Twardogóra;;6111.0
DOLNOŚLĄSKIE;oławski;Domaniów;Domaniów;;
DOLNOŚLĄSKIE;oławski;Jelcz-Laskowice;Jelcz-Laskowice;;14912.0
DOLNOŚLĄSKIE;oławski;Oława;Oława;;33086.0
DOLNOŚLĄSKIE;polkowicki;Chocianów;Chocianów;;7270.0
DOLNOŚLĄSKIE;polkowicki;Gaworzyce;Gaworzyce;;
DOLNOŚLĄSKIE;polkowicki;Grębocice;Grębocice;;
DOLNOŚLĄSKIE;polkowicki;Polkowice;Polkowice;;21090.0
DOLNOŚLĄSKIE;polkowicki;Przemków;Przemków;;5506.0
DOLNOŚLĄSKIE;polkowicki;Radwanice;Radwanice;;
DOLNOŚLĄSKIE;strzeliński;Borów;Borów;;
DOLNOŚLĄSKIE;strzeliński;Kondratowice;Kondratowice;;
DOLNOŚLĄSKIE;strzeliński;Przeworno;Przeworno;;
DOLNOŚLĄSKIE;strzeliński;Strzelin;Strzelin;;11841.0
DOLNOŚLĄSKIE;strzeliński;Wiązów;Wiązów;;2233.0
DOLNOŚLĄSKIE;trzebnicki;Oborniki Śląskie;Oborniki Śląskie;;8914.0
DOLNOŚLĄSKIE;trzebnicki;Prusice;Prusice;;2102.0
DOLNOŚLĄSKIE;trzebnicki;Trzebnica;Trzebnica;;13575.0
DOLNOŚLĄSKIE;trzebnicki;Wisznia Mała;Wisznia Mała;;
DOLNOŚLĄSKIE;trzebnicki;Zawonia;Zawonia;;
DOLNOŚLĄSKIE;trzebnicki;Żmigród;Żmigród;;6193.0
DOLNOŚLĄSKIE;trzebnicki;Żmigród;Żmigród;;6193.0
DOLNOŚLĄSKIE;wałbrzyski;Boguszów-Gorce;Boguszów-Gorce;;14079.0
DOLNOŚLĄSKIE;wałbrzyski;Czarny Bór;Czarny Bór;;
DOLNOŚLĄSKIE;wałbrzyski;Głuszyca;Głuszyca;;5829.0
DOLNOŚLĄSKIE;wałbrzyski;Jedlina-Zdrój;Jedlina-Zdrój;;4578.0
DOLNOŚLĄSKIE;wałbrzyski;Mieroszów;Mieroszów;;3676.0
DOLNOŚLĄSKIE;wałbrzyski;Stare Bogaczowice;Stare Bogaczowice;;
DOLNOŚLĄSKIE;wałbrzyski;Szczawno-Zdrój;Szczawno-Zdrój;;5180.0
DOLNOŚLĄSKIE;wałbrzyski;Walim;Walim;;
DOLNOŚLĄSKIE;wołowski;Brzeg Dolny;Brzeg Dolny;;12395.0
